"SEASON","TEAM_NAME","WINS","LOSSES","WIN_PCT","WINS_5Y","LOSSES_5Y","WIN_PCT_5Y"
"1990","Golden State Warriors",44,38,0.537,186,224,0.454
"1994","Detroit Pistons",28,54,0.341,186,224,0.454
"2005","Washington Wizards",42,40,0.512,186,224,0.454
"2021","Charlotte Hornets",43,39,0.524,174,209,0.454
"2015","Utah Jazz",40,42,0.488,178,216,0.452
"2022","Atlanta Hawks",41,41,0.5,174,211,0.452
"1999","Sacramento Kings",44,38,0.537,171,207,0.452
"1997","Detroit Pistons",37,45,0.451,185,225,0.451
"2007","Orlando Magic",52,30,0.634,185,225,0.451
"1991","Denver Nuggets",24,58,0.293,185,225,0.451
"1987","Chicago Bulls",50,32,0.61,185,225,0.451
"2006","Golden State Warriors",42,40,0.512,185,225,0.451
"1981","Indiana Pacers",35,47,0.427,185,225,0.451
"2020","New Orleans Pelicans",31,41,0.431,176,214,0.451
"2017","Denver Nuggets",46,36,0.561,185,225,0.451
"2010","Philadelphia 76ers",41,41,0.5,184,226,0.449
"2016","Denver Nuggets",40,42,0.488,177,217,0.449
"1986","Houston Rockets",42,40,0.512,184,226,0.449
"1984","Kansas City Kings",31,51,0.378,184,226,0.449
"2013","Los Angeles Clippers",57,25,0.695,177,217,0.449
"1994","New Jersey Nets",30,52,0.366,184,226,0.449
"2021","Minnesota Timberwolves",46,36,0.561,171,211,0.448
"2013","New York Knicks",37,45,0.451,176,218,0.447
"1985","Utah Jazz",42,40,0.512,183,227,0.446
"1968","New York Knicks",54,28,0.659,180,224,0.446
"1993","Philadelphia 76ers",25,57,0.305,183,227,0.446
"2010","Toronto Raptors",22,60,0.268,183,227,0.446
"2020","Dallas Mavericks",42,30,0.583,175,218,0.445
"2018","Chicago Bulls",22,60,0.268,182,228,0.444
"2006","Boston Celtics",24,58,0.293,182,228,0.444
"1995","Detroit Pistons",46,36,0.561,182,228,0.444
"2018","Dallas Mavericks",33,49,0.402,182,228,0.444
"2008","Sacramento Kings",17,65,0.207,182,228,0.444
"1980","Denver Nuggets",37,45,0.451,173,217,0.444
"2020","Brooklyn Nets",48,24,0.667,173,217,0.444
"1989","New York Knicks",45,37,0.549,182,228,0.444
"2001","New Jersey Nets",52,30,0.634,168,210,0.444
"1963","Cincinnati Royals",55,25,0.688,168,211,0.443
"2001","Atlanta Hawks",33,49,0.402,167,211,0.442
"2015","Washington Wizards",41,41,0.5,174,220,0.442
"1958","Minneapolis Lakers",33,39,0.458,160,202,0.442
"1990","Washington Bullets",30,52,0.366,181,229,0.441
"2008","Toronto Raptors",33,49,0.402,181,229,0.441
"2007","Toronto Raptors",41,41,0.5,181,229,0.441
"2009","Philadelphia 76ers",27,55,0.329,181,229,0.441
"2022","New Orleans Pelicans",42,40,0.512,172,218,0.441
"1978","Houston Rockets",47,35,0.573,181,229,0.441
"2010","Golden State Warriors",36,46,0.439,181,229,0.441
"2017","Detroit Pistons",39,43,0.476,181,229,0.441
"1973","Detroit Pistons",52,30,0.634,181,229,0.441
"2006","Milwaukee Bucks",28,54,0.341,181,229,0.441
"2005","Denver Nuggets",44,38,0.537,180,230,0.439
"2011","Memphis Grizzlies",41,25,0.621,173,221,0.439
"1981","Chicago Bulls",34,48,0.415,180,230,0.439
"1998","Sacramento Kings",27,23,0.54,166,212,0.439
"2009","Indiana Pacers",32,50,0.39,180,230,0.439
"2019","New Orleans Pelicans",30,42,0.417,175,225,0.438
"1979","Cleveland Cavaliers",37,45,0.451,179,231,0.437
"2004","Toronto Raptors",33,49,0.402,179,231,0.437
"1956","Philadelphia Warriors",37,35,0.514,156,201,0.437
"2015","Orlando Magic",35,47,0.427,172,222,0.437
"2005","Orlando Magic",36,46,0.439,179,231,0.437
"2011","Milwaukee Bucks",31,35,0.47,172,222,0.437
"2006","Los Angeles Clippers",40,42,0.488,179,231,0.437
"2009","Golden State Warriors",26,56,0.317,179,231,0.437
"2020","Charlotte Hornets",33,39,0.458,167,216,0.436
"2022","Minnesota Timberwolves",42,40,0.512,166,216,0.435
"2020","Memphis Grizzlies",38,34,0.528,170,221,0.435
"2010","Charlotte Bobcats",34,48,0.415,178,232,0.434
"1999","Milwaukee Bucks",42,40,0.512,164,214,0.434
"1995","Denver Nuggets",35,47,0.427,178,232,0.434
"2019","Memphis Grizzlies",34,39,0.466,174,227,0.434
"2019","Dallas Mavericks",43,32,0.573,175,228,0.434
"1980","Cleveland Cavaliers",28,54,0.341,178,232,0.434
"2005","Los Angeles Clippers",47,35,0.573,178,232,0.434
"2022","San Antonio Spurs",22,60,0.268,169,220,0.434
"2021","Washington Wizards",35,47,0.427,169,221,0.433
"1967","San Francisco Warriors",43,39,0.524,174,228,0.433
"1955","Philadelphia Warriors",45,27,0.625,152,199,0.433
"1984","Houston Rockets",48,34,0.585,177,233,0.432
"2022","Charlotte Hornets",27,55,0.329,165,218,0.431
"1996","Golden State Warriors",30,52,0.366,176,234,0.429
"1962","New York Knicks",21,59,0.263,159,212,0.429
"1982","Golden State Warriors",30,52,0.366,176,234,0.429
"2010","Indiana Pacers",37,45,0.451,176,234,0.429
"1979","Detroit Pistons",16,66,0.195,176,234,0.429
"2004","Denver Nuggets",49,33,0.598,176,234,0.429
"1983","Golden State Warriors",37,45,0.451,175,235,0.427
"1989","Indiana Pacers",42,40,0.512,175,235,0.427
"1996","Denver Nuggets",21,61,0.256,175,235,0.427
"2007","Los Angeles Clippers",23,59,0.28,175,235,0.427
"2017","Milwaukee Bucks",44,38,0.537,175,235,0.427
"2006","Orlando Magic",40,42,0.488,175,235,0.427
"2008","Portland Trail Blazers",54,28,0.659,175,235,0.427
"2007","Seattle SuperSonics",20,62,0.244,175,235,0.427
"1973","Seattle SuperSonics",36,46,0.439,175,235,0.427
"2000","Toronto Raptors",47,35,0.573,161,217,0.426
"1954","Philadelphia Warriors",33,39,0.458,147,198,0.426
"2014","Milwaukee Bucks",41,41,0.5,168,226,0.426
"2016","Detroit Pistons",37,45,0.451,167,227,0.424
"1993","Los Angeles Clippers",27,55,0.329,174,236,0.424
"1982","Indiana Pacers",20,62,0.244,174,236,0.424
"2016","Phoenix Suns",24,58,0.293,167,227,0.424
"1978","Cleveland Cavaliers",30,52,0.366,174,236,0.424
"2022","New York Knicks",47,35,0.573,163,221,0.424
"1997","New Jersey Nets",43,39,0.524,174,236,0.424
"1996","New Jersey Nets",26,56,0.317,174,236,0.424
"2009","Milwaukee Bucks",46,36,0.561,174,236,0.424
"2001","Cleveland Cavaliers",29,53,0.354,160,218,0.423
"1952","Philadelphia Warriors",12,57,0.174,139,190,0.422
"1987","Phoenix Suns",28,54,0.341,173,237,0.422
"2005","Cleveland Cavaliers",50,32,0.61,173,237,0.422
"1984","Golden State Warriors",22,60,0.268,173,237,0.422
"2013","Toronto Raptors",48,34,0.585,166,228,0.421
"2020","Cleveland Cavaliers",22,50,0.306,161,222,0.42
"1994","Miami Heat",32,50,0.39,172,238,0.42
"1950","Boston Celtics",39,30,0.565,128,177,0.42
"1989","Golden State Warriors",37,45,0.451,172,238,0.42
"1973","Phoenix Suns",30,52,0.366,172,238,0.42
"1984","Chicago Bulls",38,44,0.463,172,238,0.42
"1987","San Antonio Spurs",31,51,0.378,172,238,0.42
"2022","Chicago Bulls",40,42,0.488,161,222,0.42
"2019","Los Angeles Lakers",52,19,0.732,167,232,0.419
"2013","Golden State Warriors",51,31,0.622,165,229,0.419
"2009","Washington Wizards",26,56,0.317,171,239,0.417
"1989","San Antonio Spurs",56,26,0.683,171,239,0.417
"2006","Portland Trail Blazers",32,50,0.39,171,239,0.417
"1985","New York Knicks",23,59,0.28,171,239,0.417
"1993","New Jersey Nets",45,37,0.549,171,239,0.417
"1993","Milwaukee Bucks",20,62,0.244,171,239,0.417
"2015","New York Knicks",32,50,0.39,164,230,0.416
"1983","Houston Rockets",29,53,0.354,170,240,0.415
"2019","Atlanta Hawks",20,47,0.299,164,231,0.415
"2009","Charlotte Bobcats",44,38,0.537,170,240,0.415
"1978","Philadelphia 76ers",47,35,0.573,170,240,0.415
"2009","New Jersey Nets",12,70,0.146,170,240,0.415
"1998","Minnesota Timberwolves",25,25,0.5,157,221,0.415
"2013","Philadelphia 76ers",19,63,0.232,163,231,0.414
"2013","Charlotte Bobcats",43,39,0.524,163,231,0.414
"2015","Los Angeles Lakers",17,65,0.207,163,231,0.414
"2022","Washington Wizards",35,47,0.427,161,229,0.413
"2000","Dallas Mavericks",53,29,0.646,156,222,0.413
"2019","Minnesota Timberwolves",19,45,0.297,162,230,0.413
"1998","Milwaukee Bucks",28,22,0.56,156,222,0.413
"1984","Utah Jazz",41,41,0.5,169,241,0.412
"1972","Detroit Pistons",40,42,0.488,169,241,0.412
"1987","New Jersey Nets",19,63,0.232,169,241,0.412
"2010","Milwaukee Bucks",35,47,0.427,169,241,0.412
"2011","New York Knicks",36,30,0.545,162,232,0.411
"1953","Philadelphia Warriors",29,43,0.403,140,201,0.411
"2011","Golden State Warriors",23,43,0.348,162,232,0.411
"2016","Milwaukee Bucks",42,40,0.512,162,232,0.411
"1992","Los Angeles Clippers",41,41,0.5,168,242,0.41
"1977","Houston Rockets",28,54,0.341,168,242,0.41
"1984","Dallas Mavericks",44,38,0.537,168,242,0.41
"1982","Chicago Bulls",28,54,0.341,168,242,0.41
"2020","Sacramento Kings",31,41,0.431,160,230,0.41
"2014","New York Knicks",17,65,0.207,161,233,0.409
"2019","Orlando Magic",33,40,0.452,164,237,0.409
"2013","Milwaukee Bucks",15,67,0.183,161,233,0.409
"1969","San Francisco Warriors",30,52,0.366,166,240,0.409
"2020","Detroit Pistons",20,52,0.278,157,227,0.409
"2021","Atlanta Hawks",43,39,0.524,157,228,0.408
"2020","Atlanta Hawks",41,31,0.569,157,228,0.408
"1951","Baltimore Bullets",20,46,0.303,126,183,0.408
"2020","Minnesota Timberwolves",23,49,0.319,156,226,0.408
"1992","Denver Nuggets",36,46,0.439,167,243,0.407
"1977","Cleveland Cavaliers",43,39,0.524,167,243,0.407
"1997","Sacramento Kings",27,55,0.329,167,243,0.407
"2015","Detroit Pistons",44,38,0.537,160,234,0.406
"2022","Cleveland Cavaliers",51,31,0.622,155,228,0.405
"2019","Sacramento Kings",31,41,0.431,162,238,0.405
"2021","Sacramento Kings",30,52,0.366,158,232,0.405
"2008","Los Angeles Clippers",19,63,0.232,166,244,0.405
"1987","Cleveland Cavaliers",42,40,0.512,166,244,0.405
"2014","Washington Wizards",46,36,0.561,159,235,0.404
"2011","Toronto Raptors",23,43,0.348,159,235,0.404
"1996","Sacramento Kings",34,48,0.415,165,245,0.402
"2006","New York Knicks",33,49,0.402,165,245,0.402
"1993","Denver Nuggets",42,40,0.512,165,245,0.402
"2021","Cleveland Cavaliers",44,38,0.537,154,229,0.402
"2002","Atlanta Hawks",35,47,0.427,152,226,0.402
"2007","Milwaukee Bucks",26,56,0.317,165,245,0.402
"1967","Baltimore Bullets",36,46,0.439,158,235,0.402
"1991","Washington Bullets",25,57,0.305,164,246,0.4
"2006","Toronto Raptors",47,35,0.573,164,246,0.4
"2005","Golden State Warriors",34,48,0.415,164,246,0.4
"1985","Golden State Warriors",30,52,0.366,164,246,0.4
"1983","Chicago Bulls",27,55,0.329,164,246,0.4
"2022","Houston Rockets",22,60,0.268,156,234,0.4
"1994","Denver Nuggets",41,41,0.5,163,247,0.398
"2017","Minnesota Timberwolves",47,35,0.573,163,247,0.398
"1986","Chicago Bulls",40,42,0.488,163,247,0.398
"1981","New Jersey Nets",44,38,0.537,163,247,0.398
"1996","Boston Celtics",15,67,0.183,163,247,0.398
"2004","Washington Wizards",45,37,0.549,163,247,0.398
"1959","Minneapolis Lakers",25,50,0.333,145,220,0.397
"2004","Los Angeles Clippers",37,45,0.451,162,248,0.395
"2008","Memphis Grizzlies",24,58,0.293,162,248,0.395
"2005","Chicago Bulls",41,41,0.5,162,248,0.395
"1983","Indiana Pacers",26,56,0.317,162,248,0.395
"1983","Detroit Pistons",49,33,0.598,162,248,0.395
"1986","New York Knicks",24,58,0.293,162,248,0.395
"2005","New York Knicks",23,59,0.28,162,248,0.395
"2003","Denver Nuggets",43,39,0.524,162,248,0.395
"1972","Seattle SuperSonics",26,56,0.317,162,248,0.395
"1977","Portland Trail Blazers",58,24,0.707,162,248,0.395
"2007","Portland Trail Blazers",41,41,0.5,162,248,0.395
"1973","Philadelphia 76ers",25,57,0.305,161,249,0.393
"1993","Orlando Magic",50,32,0.61,161,249,0.393
"1988","New York Knicks",52,30,0.634,161,249,0.393
"2015","Milwaukee Bucks",33,49,0.402,155,239,0.393
"1994","Milwaukee Bucks",34,48,0.415,161,249,0.393
"1994","Los Angeles Clippers",17,65,0.207,161,249,0.393
"1997","Golden State Warriors",19,63,0.232,161,249,0.393
"1986","Golden State Warriors",42,40,0.512,161,249,0.393
"1993","Charlotte Hornets",41,41,0.5,161,249,0.393
"1977","Buffalo Braves",27,55,0.329,161,249,0.393
"2019","Chicago Bulls",22,43,0.338,154,239,0.392
"1999","Philadelphia 76ers",49,33,0.598,148,230,0.392
"1963","Detroit Pistons",23,57,0.288,148,231,0.391
"1995","Sacramento Kings",39,43,0.476,160,250,0.39
"2018","Sacramento Kings",39,43,0.476,160,250,0.39
"2022","Orlando Magic",34,48,0.415,152,239,0.389
"2018","Minnesota Timberwolves",36,46,0.439,159,251,0.388
"2010","New York Knicks",42,40,0.512,159,251,0.388
"2005","Toronto Raptors",27,55,0.329,159,251,0.388
"2018","Philadelphia 76ers",51,31,0.622,159,251,0.388
"2016","New York Knicks",31,51,0.378,153,241,0.388
"1995","Los Angeles Clippers",29,53,0.354,159,251,0.388
"2021","Chicago Bulls",46,36,0.561,148,235,0.386
"2011","Charlotte Bobcats",7,59,0.106,152,242,0.386
"1999","New Jersey Nets",31,51,0.378,146,232,0.386
"1993","Miami Heat",42,40,0.512,158,252,0.385
"2008","Milwaukee Bucks",34,48,0.415,158,252,0.385
"2009","Los Angeles Clippers",29,53,0.354,158,252,0.385
"2020","Orlando Magic",21,51,0.292,150,241,0.384
"1998","New Jersey Nets",16,34,0.32,145,233,0.384
"2001","Washington Wizards",37,45,0.451,145,233,0.384
"1969","Detroit Pistons",31,51,0.378,156,250,0.384
"1988","Golden State Warriors",43,39,0.524,157,253,0.383
"1963","New York Knicks",22,58,0.275,145,234,0.383
"2009","Memphis Grizzlies",40,42,0.488,157,253,0.383
"1985","Chicago Bulls",30,52,0.366,157,253,0.383
"2009","Sacramento Kings",25,57,0.305,157,253,0.383
"2020","Phoenix Suns",51,21,0.708,149,242,0.381
"2013","Detroit Pistons",29,53,0.354,150,244,0.381
"1982","San Diego Clippers",25,57,0.305,156,254,0.38
"1988","San Antonio Spurs",21,61,0.256,156,254,0.38
"1987","New York Knicks",38,44,0.463,156,254,0.38
"2018","Orlando Magic",42,40,0.512,156,254,0.38
"1988","Indiana Pacers",28,54,0.341,155,255,0.378
"2017","Phoenix Suns",21,61,0.256,155,255,0.378
"2016","Orlando Magic",29,53,0.354,149,245,0.378
"2021","New York Knicks",37,45,0.451,145,239,0.378
"2008","Minnesota Timberwolves",24,58,0.293,155,255,0.378
"1964","Detroit Pistons",31,49,0.388,146,241,0.377
"2010","Memphis Grizzlies",46,36,0.561,154,256,0.376
"1994","Philadelphia 76ers",24,58,0.293,154,256,0.376
"2000","New Jersey Nets",26,56,0.317,142,236,0.376
"1987","Indiana Pacers",38,44,0.463,153,257,0.373
"1967","Detroit Pistons",40,42,0.488,150,252,0.373
"2004","Cleveland Cavaliers",42,40,0.512,153,257,0.373
"1981","Cleveland Cavaliers",15,67,0.183,153,257,0.373
"2020","Chicago Bulls",31,41,0.431,143,240,0.373
"2008","Atlanta Hawks",47,35,0.573,153,257,0.373
"2000","Boston Celtics",36,46,0.439,141,237,0.373
"1977","Philadelphia 76ers",55,27,0.671,153,257,0.373
"2021","Detroit Pistons",23,59,0.28,143,241,0.372
"2010","Washington Wizards",23,59,0.28,152,258,0.371
"1983","Utah Jazz",45,37,0.549,152,258,0.371
"1997","Minnesota Timberwolves",45,37,0.549,152,258,0.371
"1992","New Jersey Nets",43,39,0.524,152,258,0.371
"2002","Washington Wizards",37,45,0.451,140,238,0.37
"1971","Detroit Pistons",26,56,0.317,151,257,0.37
"2017","Brooklyn Nets",28,54,0.341,151,259,0.368
"2007","New York Knicks",23,59,0.28,151,259,0.368
"1997","Boston Celtics",36,46,0.439,151,259,0.368
"1987","Golden State Warriors",20,62,0.244,151,259,0.368
"2021","Orlando Magic",22,60,0.268,143,248,0.366
"1996","Washington Bullets",44,38,0.537,150,260,0.366
"1967","New York Knicks",43,39,0.524,147,255,0.366
"1988","New Jersey Nets",26,56,0.317,150,260,0.366
"1996","Los Angeles Clippers",36,46,0.439,150,260,0.366
"1968","Detroit Pistons",32,50,0.39,148,256,0.366
"1997","Denver Nuggets",11,71,0.134,150,260,0.366
"2019","Brooklyn Nets",35,37,0.486,146,254,0.365
"2016","Sacramento Kings",32,50,0.39,144,250,0.365
"1998","Boston Celtics",19,31,0.38,138,240,0.365
"1999","Boston Celtics",35,47,0.427,138,240,0.365
"1964","New York Knicks",31,49,0.388,141,246,0.364
"2018","Brooklyn Nets",42,40,0.512,149,261,0.363
"2003","Atlanta Hawks",28,54,0.341,149,261,0.363
"2017","Sacramento Kings",27,55,0.329,149,261,0.363
"2011","Los Angeles Clippers",40,26,0.606,143,251,0.363
"2014","Detroit Pistons",32,50,0.39,143,251,0.363
"2020","New York Knicks",41,31,0.569,139,245,0.362
"1965","Baltimore Bullets",38,42,0.475,138,243,0.362
"1997","Milwaukee Bucks",36,46,0.439,148,262,0.361
"1992","Washington Bullets",22,60,0.268,148,262,0.361
"2016","Minnesota Timberwolves",31,51,0.378,142,252,0.36
"1986","Cleveland Cavaliers",31,51,0.378,147,263,0.359
"1984","Indiana Pacers",22,60,0.268,147,263,0.359
"2004","Golden State Warriors",34,48,0.415,147,263,0.359
"2003","Washington Wizards",25,57,0.305,147,263,0.359
"1999","Toronto Raptors",45,37,0.549,135,243,0.357
"2017","New York Knicks",29,53,0.354,146,264,0.356
"1992","Dallas Mavericks",11,71,0.134,146,264,0.356
"1994","Sacramento Kings",39,43,0.476,146,264,0.356
"2014","Philadelphia 76ers",18,64,0.22,140,254,0.355
"1980","Detroit Pistons",21,61,0.256,145,265,0.354
"1965","Detroit Pistons",22,58,0.275,140,255,0.354
"2010","New Jersey Nets",24,58,0.293,145,265,0.354
"2002","Denver Nuggets",17,65,0.207,133,245,0.352
"2008","Charlotte Bobcats",35,47,0.427,144,266,0.351
"1991","Los Angeles Clippers",45,37,0.549,144,266,0.351
"1981","Detroit Pistons",39,43,0.476,144,266,0.351
"2008","New York Knicks",32,50,0.39,144,266,0.351
"1982","Detroit Pistons",37,45,0.451,143,267,0.349
"2003","Cleveland Cavaliers",35,47,0.427,143,267,0.349
"2010","Los Angeles Clippers",32,50,0.39,143,267,0.349
"1998","Golden State Warriors",21,29,0.42,132,246,0.349
"1983","San Diego Clippers",30,52,0.366,143,267,0.349
"2015","Sacramento Kings",33,49,0.402,136,258,0.345
"1952","Baltimore Bullets",16,54,0.229,114,216,0.345
"2002","Cleveland Cavaliers",17,65,0.207,130,248,0.344
"1989","Sacramento Kings",23,59,0.28,140,270,0.341
"1974","Philadelphia 76ers",34,48,0.415,140,270,0.341
"2009","New York Knicks",29,53,0.354,140,270,0.341
"1996","Milwaukee Bucks",33,49,0.402,140,270,0.341
"2003","Los Angeles Clippers",28,54,0.341,140,270,0.341
"1999","Dallas Mavericks",40,42,0.488,129,249,0.341
"1992","Charlotte Hornets",44,38,0.537,140,270,0.341
"2001","Chicago Bulls",21,61,0.256,128,250,0.339
"1995","Milwaukee Bucks",25,57,0.305,138,272,0.337
"2001","Denver Nuggets",27,55,0.329,127,251,0.336
"2016","Los Angeles Lakers",26,56,0.317,132,262,0.335
"2013","Washington Wizards",44,38,0.537,132,262,0.335
"2010","Sacramento Kings",24,58,0.293,137,273,0.334
"2017","Orlando Magic",25,57,0.305,137,273,0.334
"1965","New York Knicks",30,50,0.375,131,264,0.332
"2004","Chicago Bulls",47,35,0.573,136,274,0.332
"2018","Los Angeles Lakers",37,45,0.451,136,274,0.332
"2011","Washington Wizards",20,46,0.303,131,263,0.332
"1998","Dallas Mavericks",19,31,0.38,125,253,0.331
"1999","Golden State Warriors",19,63,0.232,125,253,0.331
"2019","New York Knicks",21,45,0.318,130,264,0.33
"2005","Atlanta Hawks",26,56,0.317,135,275,0.329
"1986","Indiana Pacers",41,41,0.5,135,275,0.329
"2007","Atlanta Hawks",37,45,0.451,134,276,0.327
"2004","Atlanta Hawks",13,69,0.159,134,276,0.327
"1964","Baltimore Bullets",37,43,0.463,120,247,0.327
"2014","Sacramento Kings",29,53,0.354,128,266,0.325
"1998","Philadelphia 76ers",28,22,0.56,123,255,0.325
"2015","Minnesota Timberwolves",29,53,0.354,128,266,0.325
"1982","Cleveland Cavaliers",23,59,0.28,133,277,0.324
"1998","Denver Nuggets",14,36,0.28,122,256,0.323
"2006","Atlanta Hawks",30,52,0.366,132,278,0.322
"2003","Golden State Warriors",37,45,0.451,132,278,0.322
"1993","Washington Bullets",24,58,0.293,132,278,0.322
"1992","Miami Heat",36,46,0.439,131,279,0.32
"2000","Denver Nuggets",40,42,0.488,121,257,0.32
"2011","New Jersey Nets",22,44,0.333,126,268,0.32
"1985","Cleveland Cavaliers",29,53,0.354,131,279,0.32
"2011","Sacramento Kings",22,44,0.333,126,268,0.32
"1983","Cleveland Cavaliers",28,54,0.341,131,279,0.32
"2002","Los Angeles Clippers",27,55,0.329,121,257,0.32
"1995","Washington Bullets",39,43,0.476,131,279,0.32
"1993","Sacramento Kings",28,54,0.341,130,280,0.317
"1984","Cleveland Cavaliers",36,46,0.439,130,280,0.317
"2022","Detroit Pistons",17,65,0.207,121,263,0.315
"1985","Indiana Pacers",26,56,0.317,129,281,0.315
"1992","Sacramento Kings",25,57,0.305,129,281,0.315
"2015","Philadelphia 76ers",10,72,0.122,123,271,0.312
"1991","New Jersey Nets",40,42,0.488,128,282,0.312
"1995","Philadelphia 76ers",18,64,0.22,128,282,0.312
"1991","Sacramento Kings",29,53,0.354,128,282,0.312
"1990","Sacramento Kings",25,57,0.305,128,282,0.312
"2013","Minnesota Timberwolves",40,42,0.488,122,272,0.31
"2017","Philadelphia 76ers",52,30,0.634,127,283,0.31
"1996","Minnesota Timberwolves",40,42,0.488,126,284,0.307
"2018","Phoenix Suns",19,63,0.232,126,284,0.307
"2018","New York Knicks",17,65,0.207,126,284,0.307
"1999","Denver Nuggets",35,47,0.427,116,262,0.307
"2002","Golden State Warriors",38,44,0.463,116,262,0.307
"1997","Los Angeles Clippers",17,65,0.207,126,284,0.307
"2017","Los Angeles Lakers",35,47,0.427,126,284,0.307
"2009","Minnesota Timberwolves",15,67,0.183,126,284,0.307
"1989","New Jersey Nets",17,65,0.207,125,285,0.305
"1963","Baltimore Bullets",31,49,0.388,107,246,0.303
"2019","Phoenix Suns",34,39,0.466,121,280,0.302
"1994","Washington Bullets",21,61,0.256,122,288,0.298
"1953","Baltimore Bullets",16,55,0.225,101,240,0.296
"1993","Dallas Mavericks",13,69,0.159,121,289,0.295
"2001","Los Angeles Clippers",39,43,0.476,111,267,0.294
"2013","Sacramento Kings",28,54,0.341,116,278,0.294
"1997","Philadelphia 76ers",31,51,0.378,120,290,0.293
"1997","Dallas Mavericks",20,62,0.244,119,291,0.29
"2014","Minnesota Timberwolves",16,66,0.195,114,280,0.289
"2000","Los Angeles Clippers",31,51,0.378,108,270,0.286
"1998","Los Angeles Clippers",9,41,0.18,108,270,0.286
"1996","Philadelphia 76ers",22,60,0.268,115,295,0.28
"2000","Golden State Warriors",17,65,0.207,106,272,0.28
"1999","Los Angeles Clippers",15,67,0.183,106,272,0.28
"2016","Philadelphia 76ers",28,54,0.341,110,284,0.279
"1988","Los Angeles Clippers",21,61,0.256,113,297,0.276
"1989","Los Angeles Clippers",30,52,0.366,112,298,0.273
"1990","New Jersey Nets",26,56,0.317,112,298,0.273
"1990","Los Angeles Clippers",31,51,0.378,111,299,0.271
"1994","Dallas Mavericks",36,46,0.439,110,300,0.268
"1996","Dallas Mavericks",24,58,0.293,110,300,0.268
"2010","Minnesota Timberwolves",17,65,0.207,110,300,0.268
"2011","Minnesota Timberwolves",26,40,0.394,104,290,0.264
"1995","Dallas Mavericks",26,56,0.317,108,302,0.263
"2003","Chicago Bulls",23,59,0.28,106,304,0.259
"2001","Golden State Warriors",21,61,0.256,97,281,0.257
"1993","Minnesota Timberwolves",20,62,0.244,105,305,0.256
"1994","Minnesota Timberwolves",21,61,0.256,104,306,0.254
"2002","Chicago Bulls",30,52,0.366,96,282,0.254
"1995","Minnesota Timberwolves",26,56,0.317,101,309,0.246
"2000","Vancouver Grizzlies",23,59,0.28,86,292,0.228
"1999","Vancouver Grizzlies",22,60,0.268,78,300,0.206
